tweet_id,sentiment,content,mapped_sentiment,tokens
1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral,"['feels', 'strong', 'contractions', 'but', 'wants', 'to', 'go', 'out', 'http']"
1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow,neutral,"['socal', 'stoked', 'or', 'maybe', 'not', 'tomorrow']"
1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...,neutral,"['screw', 'you', 'davidbrussee', 'i', 'only', 'have', 'weeks']"
1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,sad,"['yeah', 's', 'i', 'feel', 'all', 'funny', 'cause', 'i', 'have', 'slept', 'enough', 'i', 'woke', 'my', 'mum', 'up', 'cause', 'i', 'was', 'singing', 'she', 'not', 'impressed', 's', 'you']"
1956976557,neutral,has work this afternoon,neutral,"['has', 'work', 'this', 'afternoon']"
1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,neutral,"['gabbyisactive', 'aw', 'you', 'would', 'not', 'unfollow', 'me', 'would', 'you', 'then', 'i', 'would', 'cry']"
1956977084,happiness,mmm much better day... so far! it's still quite early. last day of #uds,happy,"['mmm', 'much', 'better', 'day', 'so', 'far', 'it', 'still', 'quite', 'early', 'last', 'day', 'of', 'uds']"
1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sad,"['i', 'having', 'a', 'problem', 'with', 'my', 'photo', 'here', 'in', 'twitter', 'amf', 'ca', 'see', 'my', 'face']"
1956979437,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",neutral,"['jakeboyd', 'oh', 'noooo', 'if', 'i', 'blow', 'a', 'tire', 'you', 'reaaaally', 'going', 'to', 'have', 'to', 'send', 'up', 'some', 'batman', 'smoke']"
1956979756,neutral,wnna take a bath!!!!,neutral,"['wnna', 'take', 'a', 'bath']"
1956979894,neutral,Chocolate milk is so much better through a straw. I lack said straw,neutral,"['chocolate', 'milk', 'is', 'so', 'much', 'better', 'through', 'a', 'straw', 'i', 'lack', 'said', 'straw']"
1956980788,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral,"['mennard', 'time', 'diff', 'and', 'i', 'just', 'been', 'wrapped', 'up', 'in', 'day', 'to', 'day', 'stuff', 'so', 'i', 'havent', 'been', 'tweeting', 'talk', 'soon', 'must', 'sleep', 'up', 'in']"
1956980883,neutral,@benballer  no way! damn that sucks B!  are you ok?,neutral,"['benballer', 'no', 'way', 'damn', 'that', 'sucks', 'b', 'are', 'you', 'ok']"
1956981850,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,neutral,"['ramtops', 'the', 'recession', 'her', 'hotel', 'are', 'restructuring', 'how', 'the', 'accounts', 'are', 'done', 'adds', 'a', 'bit', 'more', 'pressure', 'in', 'the', 'short', 'term', 'but', 'we', 'cope']"
1956982075,neutral,@lostluna But I got dibs on Sulu...,neutral,"['lostluna', 'but', 'i', 'got', 'dibs', 'on', 'sulu']"
1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sad,"['maternitytees', 'aww', 'onward', 'and', 'upwards', 'now', 'yay', 'still', 'sad', 'to', 'leave', 'i', 'bet']"
1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sad,"['diesel', 'yaris', 'so', 'sad', 'its', 'not', 'available', 'in', 'the', 'us', 'that', 'be', 'awesome']"
1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sad,"['i', 'want', 'to', 'buy', 'this', 'great', 'album', 'but', 'unfortunately', 'i', 'dont', 'hav', 'enuff', 'funds', 'its', 'quot', 'long', 'time', 'noisy', 'quot']"
1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.,sad,"['pokinatcha', 'in', 'all', 'honesty', 'pain', 'blech']"
1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sad,"['ok', 'the', 'passengers', 'no', 'one', 'is', 'alive', 'they', 'all', 'dead', 'you', 'just', 'do', 'know', 'it', 'til', 'the', 'end', 'then', 'you', 'cry']"
1956983467,neutral,At home alone with not much to do,neutral,"['at', 'home', 'alone', 'with', 'not', 'much', 'to', 'do']"
1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,sad,"['vincew', 'stefanyngo', 'i', 'fell', 'asleep', 'on', 'the', 'beach', 'and', 'did', 'put', 'on', 'enough', 'sunscreen', 'lol']"
1956983874,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happy,"['so', 'great', 'to', 'see', 'oin', 'amp', 'cynthia', 'so', 'happy', 'dinner', 'was', 'great', 'cute', 'little', 'place', 'too', 'bad', 'oin', 'got', 'sick', 'afterwards']"
1956983931,neutral,I cant give @jertronic any bday nudges.,neutral,"['i', 'cant', 'give', 'jertronic', 'any', 'bday', 'nudges']"
1956984205,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,neutral,"['brothers', 'bloom', 'wo', 'be', 'opening', 'this', 'weekend', 'in', 'el', 'paso', 'i', 'just', 'buy', 'brick', 'and', 'enjoy', 'that', 'until', 'i', 'can', 'watch', 'brothers', 'bloom']"
1956984559,neutral,says I miss plurking.  http://plurk.com/p/wxion,neutral,"['says', 'i', 'miss', 'plurking', 'http']"
1956984894,neutral,I miss Voobys!,neutral,"['i', 'miss', 'voobys']"
1956985129,neutral,@Dancing_Monk Neither are ELP!!,neutral,"['neither', 'are', 'elp']"
1956985535,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",happy,"['havingmysay', 'dude', 'that', 'is', 'my', 'favorite', 'sandwich', 'place', 'ever', 'ummm', 'did', 'you', 'take', 'pictures']"
1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,sad,"['ohh', 'thursday', 'i', 'have', 'exams', 'all', 'day', 'what', 'about', 'wednesday']"
1956985973,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral,"['there', 'was', 'a', 'mix', 'up', 'with', 'my', 'dentist', 'appt', 'this', 'afternoon', 'so', 'they', 'rescheduled', 'me', 'for', 'tomorrow']"
1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sad,"['gcrush', 'nopantsdance', 'i', 'was', 'just', 'thinking', 'about', 'how', 'excited', 'i', 'am', 'for', 'you', 'guys', 'to', 'move', 'but', 'then', 'i', 'realized', 'how', 'sad', 'i', 'am', 'to', 'see', 'you', 'go']"
1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,sad,"['artfuldodga', 'i', 'love', 'those', 'usb', 'sticks', 'we', 'only', 'have', 'the', 'in', 'australia']"
1956988145,neutral,@lepetitagneau what's going on sweetheart?,neutral,"['lepetitagneau', 'what', 'going', 'on', 'sweetheart']"
1956988218,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",neutral,"['how', 'can', 'it', 'be', 'so', 'freaking', 'difficult', 'to', 'get', 'a', 'spellchecker', 'shit', 'i', 'settle', 'for', 'an', 'office', 'suite', 'one', 'stupid', 'unhelpful', 'windows']"
1956988477,neutral,@willxxmobb work at 6am. Gotta go to bed soon,neutral,"['willxxmobb', 'work', 'at', 'got', 'ta', 'go', 'to', 'bed', 'soon']"
1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep,sad,"['sweeetnspicy', 'hiii', 'im', 'on', 'my', 'ipod', 'i', 'cant', 'fall', 'asleep']"
1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid,sad,"['dont', 'wan', 'na', 'work', 'tomorrow', 'but', 'i', 'get', 'paid']"
1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sad,"['feels', 'sad', 'coz', 'i', 'wasnt', 'able', 'to', 'play', 'with', 'the', 'guys', 'http']"
1956989561,neutral,PrinceCharming,neutral,['princecharming']
1956990413,neutral,Oh is that time for real?,neutral,"['oh', 'is', 'that', 'time', 'for', 'real']"
1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sad,"['darn', 'these', 'allergies', 'i', 'do', 'like', 'this', 'time', 'of', 'year', 'because', 'of', 'this', 'i', 'never', 'used', 'to', 'have', 'this', 'problem', 'either']"
1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sad,"['cayogial', 'i', 'wanted', 'to', 'come', 'to', 'bz', 'this', 'summer', 'not', 'so', 'sure', 'anymore', 'a', 'teacher', 'life', 'in', 'the', 'summer', 'sucks']"
1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sad,"['i', 'wish', 'she', 'knew', 'what', 'she', 'puts', 'me', 'through', 'she', 'stole', 'my', 'heart', 'never', 'gave', 'it', 'back', 'and', 'occasionally', 'she', 'likes', 'to', 'be', 'like', 'look', 'what', 'i', 'have']"
1956992349,neutral,@justamedicine  That was stone cold   Crazy....  ?,neutral,"['justamedicine', 'that', 'was', 'stone', 'cold', 'crazy']"
1956993080,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,neutral,"['shift', 'time', 'bbye', 'biochem', 'waaaaahhhhhh', 'http']"
1956993206,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,neutral,"['melbournegirl', 'i', 'sure', 'will', 'cum', 'out', 'and', 'play', 'i', 'workin', 'through', 'til', 'midnight']"
1956994067,neutral,@thecreativeone I second that. I wish it rained more where I am,neutral,"['thecreativeone', 'i', 'second', 'that', 'i', 'wish', 'it', 'rained', 'more', 'where', 'i', 'am']"
1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,sad,"['neesabear', 'early', 'happy', 'day', 'of', 'birth', 'in', 'case', 'i', 'do', 'make', 'it', 'very', 'tired', 'from', 'therapy', 'today', 'n', 'just', 'taking', 'my', 'medicine', 'misshu', 'love', 'ya']"
1956995505,neutral,damn it were is Eric or anyone else when you need your hair to be played with,neutral,"['damn', 'it', 'were', 'is', 'eric', 'or', 'anyone', 'else', 'when', 'you', 'need', 'your', 'hair', 'to', 'be', 'played', 'with']"
1956995679,neutral,I'm feel deflated. Ugh. No more dog.,neutral,"['i', 'feel', 'deflated', 'ugh', 'no', 'more', 'dog']"
1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,sad,"['allergies', 'suck', 'ducks', 'nuts', 'lt', 'gt']"
1956995852,neutral,Well it almost was a good day... Guess I just retry tomorrow,neutral,"['well', 'it', 'almost', 'was', 'a', 'good', 'day', 'guess', 'i', 'just', 'retry', 'tomorrow']"
1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,sad,"['wonders', 'why', 'her', 'karma', 'points', 'turned', 'into', 'http']"
1956996765,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",happy,"['need', 'to', 'pack', 'for', 'cali', 'cali', 'can', 'not', 'waittt', 'thinking', 'a', 'glass', 'of', 'wine', 'is', 'in', 'order', 'to', 'celebrate', 'my', 'weekend', 'vaca', 'still', 'work', 'tho']"
1956996776,sadness,Is miserable  i feel like im gona cry  sux!,sad,"['is', 'miserable', 'i', 'feel', 'like', 'im', 'gona', 'cry', 'sux']"
1956997143,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,neutral,"['megturney', 'well', 'i', 'ran', 'out', 'of', 'beer', 'so', 'i', 'left', 'not', 'sure', 'about', 'the', 'eta', 'waiting', 'waiting', 'waiting', 'bleh', 'gon', 'na', 'be', 'a', 'long', 'nite', 'methinks']"
1956997619,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio",neutral,"['claire', 'breakfastnt', 'love', 'the', 'show', 'got', 'into', 'the', 'office', 'and', 'no', 'radio']"
1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...,sad,"['sigh', 'i', 'going', 'to', 'bed', 'i', 'just', 'do', 'feel', 'right', 'anymore']"
1956998538,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral,"['what', 'i', 'focused', 'on', 'tom', 'so', 'much', 'i', 'did', 'see', 'my', 'beloved', 'barack', 'oh', 'no', 'i', 'must', 'vote', 'for', 'both', 'poor', 'president', 'only', 'has', 'votes']"
1956998698,neutral,@jwillock EpiCentre Wheelock Place - tourists only..,neutral,"['jwillock', 'epicentre', 'wheelock', 'place', 'tourists', 'only']"
1956998704,sadness,Now I am depressed after watching so you think you can dance,sad,"['now', 'i', 'am', 'depressed', 'after', 'watching', 'so', 'you', 'think', 'you', 'can', 'dance']"
1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sad,"['just', 'cross', 'i', 'stuck', 'twiddling', 'my', 'thumbs', 'now', 'ugh']"
1957000077,neutral,miss 16'th,neutral,['miss']
1957000152,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",neutral,"['theharvardian', 'i', 'know', 'but', 'like', 'i', 'said', 'i', 'have', 'no', 'idea', 'how', 'long', 'it', 'takes', 'for', 'them', 'to', 'investigate', 'this', 'stuff']"
1957000314,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,neutral,"['lafloozita', 'http', 'awe', 'i', 'miss', 'my', 'baby']"
1957000372,neutral,what is it with chocolates? i just can never say no,neutral,"['what', 'is', 'it', 'with', 'chocolates', 'i', 'just', 'can', 'never', 'say', 'no']"
1957001049,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon,neutral,"['i', 'too', 'awake', 'now', 'ill', 'have', 'a', 'nap', 'this', 'afternoon']"
1957001496,neutral,still needs another 6 hours of sleep,neutral,"['still', 'needs', 'another', 'hours', 'of', 'sleep']"
1957001967,neutral,"Morning tweeple,way to early again",neutral,"['morning', 'tweeple', 'way', 'to', 'early', 'again']"
1957002082,sadness,"Last day working for the Uni today, sad times",sad,"['last', 'day', 'working', 'for', 'the', 'uni', 'today', 'sad', 'times']"
1957003715,neutral,"where are all ma bestfriends at ? , MIA or wat ?",neutral,"['where', 'are', 'all', 'ma', 'bestfriends', 'at', 'mia', 'or', 'wat']"
1957005226,sadness,is still missing her husband.    I really want him home.,sad,"['is', 'still', 'missing', 'her', 'husband', 'i', 'really', 'want', 'him', 'home']"
1957005279,sadness,I miss my puppy,sad,"['i', 'miss', 'my', 'puppy']"
1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),sad,"['nzdeany', 'i', 'given', 'up', 'on', 'pizza', 'kids', 'would', 'never', 'let', 'me', 'have', 'my', 'fav', 'the', 'hot', 'ones']"
1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family,sad,"['barbschaefer', 'yearling', 'in', 'pet', 'home', 'died', 'very', 'sad', 'for', 'their', 'whole', 'family']"
1957006074,neutral,fun in the sun hmmm hell no it's cold,neutral,"['fun', 'in', 'the', 'sun', 'hmmm', 'hell', 'no', 'it', 'cold']"
1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",sad,"['we', 'hate', 'change', 'so', 'of', 'course', 'we', 'fans', 'for', 'life', 'lt', 'oh', 'and', 'if', 'we', 'have', 'met', 'rob', 'by', 'then', 'something', 'went', 'horribly', 'wrong']"
1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sad,"['well', 'this', 'new', 'pain', 'med', 'has', 'an', 'odd', 'warning', 'that', 'actually', 'applies', 'to', 'me', 'i', 'ca', 'take', 'this', 'is', 'displeased']"
1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sad,"['just', 'uploaded', 'my', 'new', 'blog', 'a', 'painful', 'story', 'about', 'an', 'year', 'old', 'man', 'who', 'cried', 'because', 'he', 'wanted', 'to', 'die', 'very', 'sad']"
1957006725,neutral,@juneyee i don't think so.  I WANT DETAILS.,neutral,"['juneyee', 'i', 'do', 'think', 'so', 'i', 'want', 'details']"
1957006830,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???,neutral,"['jackgraycnn', 'hi', 'who', 'is', 'mary', 'poppins']"
1957007167,neutral,my last tweet didn't send  bad phone,neutral,"['my', 'last', 'tweet', 'did', 'send', 'bad', 'phone']"
1957007394,neutral,@taxidermi  I was watching Parental Control,neutral,"['taxidermi', 'i', 'was', 'watching', 'parental', 'control']"
1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sad,"['i', 'just', 'saw', 'pics', 'from', 'this', 'past', 'thanksgiving', 'and', 'am', 'sad', 'because', 'grandma', 'was', 'in', 'them']"
1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.,sad,"['took', 'a', 'shift', 'tomorrow', 'i', 'do', 'really', 'feel', 'like', 'working', 'right', 'now']"
1957008193,sadness,but now i have no money for a phone,sad,"['but', 'now', 'i', 'have', 'no', 'money', 'for', 'a', 'phone']"
1957008498,sadness,Too bad the Red Devils.. disappointing to say the least,sad,"['too', 'bad', 'the', 'red', 'devils', 'disappointing', 'to', 'say', 'the', 'least']"
1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",sad,"['xdjio', 'have', 'a', 'not', 'fast', 'enough', 'for', 'ssd', 'iop', 'on', 'the', 'hpt', 'might', 'try', 'an', 'adaptec']"
1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.,sad,"['alexandergwhite', 'daaammmnnnnn', 'i', 'do', 'wish', 'i', 'was', 'there']"
1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sad,"['i', 'played', 'up', 'until', 'the', 'latter', 'parts', 'of', 'the', 'voodoo', 'village', 'part', 'until', 'i', 'lost', 'my', 'usual', 'partner']"
1957012769,sadness,is a bad friend,sad,"['is', 'a', 'bad', 'friend']"
1957013149,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,neutral,"['rlcpbiatch', 'happy', 'birthdayyy', 'hope', 'you', 'have', 'an', 'awesome', 'day', 'did', 'see', 'you', 'at', 'next', 'last', 'night']"
1957013488,neutral,@aiderushton ill be over in an oir,neutral,"['aiderushton', 'ill', 'be', 'over', 'in', 'an', 'oir']"
1957013697,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,neutral,"['guess', 'its', 'a', 'no', 'go', 'girlie', 'i', 'still', 'at', 'the', 'gym', 'and', 'work', 'at']"
1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",sad,"['no', 'internet', 'last', 'night', 'er', 'was', 'brill', 'there', 'was', 'a', 'massive', 'explosion', 'at', 'the', 'end', 'of', 'a', 'nearby', 'gas', 'works', 'er', 'on', 'standby']"
1957013896,sadness,@lenje - Still a pity it comes with no lamb though,sad,"['lenje', 'still', 'a', 'pity', 'it', 'comes', 'with', 'no', 'lamb', 'though']"
1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,sad,"['i', 'sorry', 'to', 'hear', 'that', 'here', 'is', 'my', 'optimist', 'things', 'will', 'get', 'better', 'for', 'all', 'of', 'us']"
1957014517,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,neutral,"['juiceegapeach', 'a', 'hungry', 'fool', 'ill', 'probably', 'never', 'see', 'that', 'krispy', 'kreme', 'again', 'had', 'to', 'enjoy', 'it', 'they', 'closing', 'down']"
1957014653,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!,neutral,"['yelgiuqnayr', 'airport', 'and', 'you', 'didnt', 'show', 'up', 'tonight', 'homo']"
1957015287,neutral,@MrRathbone what about me,neutral,"['mrrathbone', 'what', 'about', 'me']"
1957015475,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",neutral,"['looking', 'for', 'desktop', 'twitter', 'app', 'that', 'will', 'actually', 'let', 'you', 'access', 'urls', 'any', 'suggestions', 'i', 'liked', 'twittle', 'but', 'no', 'linking']"
1957016169,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,neutral,"['out', 'with', 'lizzziemonster', 'amp', 'jamiejamess', 'i', 'am', 'soooo', 'hungry']"
1957016697,sadness,Had to cancel wow for now,sad,"['had', 'to', 'cancel', 'wow', 'for', 'now']"
1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,sad,"['fairyfroggie', 'but', 'yeah', 'i', 'sad', 'about', 'my', 'quot', 'ravenclaw', 'quot', 'account', 'i', 'love', 'that', 'account', 'to', 'bits']"
1957017333,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,neutral,"['back', 'from', 'school', 'ms', 'suhana', 'last', 'day', 'as', 'our', 'ft', 'ocu', 'was', 'okay', 'i', 'playing', 'altnoy', 'over', 'and', 'over', 'again']"
1957017486,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.,neutral,"['poll', 'was', 'trying', 'to', 'get', 'it', 'to', 'work', 'in', 'a', 'powerpoint', 'to', 'no', 'avail']"
1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",happy,"['took', 'a', 'math', 'test', 'today', 'the', 'day', 'before', 'the', 'test', 'the', 'teacher', 'says', 'bring', 'your', 'calculator', 'luke', 'was', 'confident', 'teacher', 'decided', 'no', 'calcs']"
1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",happy,"['omg', 'the', 'concert', 'was', 'awesome', 'madrigals', 'gave', 'me', 'chills', 'on', 'almost', 'every', 'piece', 'brooks', 'also', 'called', 'up', 'alumni', 'but', 'i', 'didnt', 'get', 'to', 'go']"
1957017610,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral,"['livestrongnj', 'yeah', 'it', 'terrible', 'cockatoos', 'are', 'the', 'hardest', 'to', 'live', 'with', 'so', 'emotional', 'good', 'thing', 'he', 'found', 'you', 'though']"
1957018061,sadness,Up late with nothin 2 do.....,sad,"['up', 'late', 'with', 'nothin', 'do']"
1957019121,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",neutral,"['nymo', 'would', 'have', 'been', 'better', 'imo', 'if', 'it', 'let', 'you', 'play', 'through', 'all', 'songs', 'provided', 'i', 'just', 'start', 'to', 'quot', 'get', 'it', 'quot', 'and', 'it', 'blacks', 'out']"
1957019458,neutral,#3wordsaftersex it never started...,neutral,"['it', 'never', 'started']"
1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer,sad,"['sometimes', 'i', 'wish', 'things', 'could', 'go', 'back', 'to', 'the', 'way', 'they', 'were', 'the', 'beginning', 'of', 'last', 'summer']"
